Resultats entre rondes  1  i  6 

Score = Mitja Pts * log(Rondes + 1) * %Victoria
És la millor manera que he trobat de comparar:
punts, nº de rondes i WinRate%


Pos   Nick del codi   Score      Mitja Pts  %Victoria  Games  || %T1     T1  | %T2     T2  | %T3     T3  | %T4     T4  | %T5     T5 
43    MensaBot3000    6075.53    3642.57    85.71%     7      || 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
44    Frig08          6047.24    3107.67    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
45    Tonikiller5     5992.43    3079.50    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
46    Player_6        5977.51    3071.83    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
47    Mauricio27d0    5962.98    3328.00    100.00%    5      || 100.00% 5   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
48    Jparess         5852.97    3007.83    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
49    ZarkoHeist      5766.06    2963.17    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
50    Pitifili_3      5762.44    3454.86    85.71%     7      || 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
51    Beijing         5625.99    5121.00    100.00%    2      || 100.00% 2   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
52    Player19        5604.55    2880.17    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
53    LipaV34         5594.82    2875.17    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
54    BaltrDest       5506.29    3301.29    85.71%     7      || 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
55    MikyMuchV203    5348.33    2748.50    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
56    alrojiv67       5326.38    3649.62    75.00%     8      || 66.67%  6   | 100.00% 2   | 0.00%   0   | 0.00%   0   | 0.00%   0  
57    Alu_fib2        5322.06    2735.00    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
58    Escu3r          5309.09    2728.33    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
59    julia_tg        5230.28    2687.83    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
60    Snake_v1        5158.41    3092.71    85.71%     7      || 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
61    BartS           4934.67    2958.57    85.71%     7      || 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
62    silla           4919.90    2949.71    85.71%     7      || 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
63    Tetico          4892.99    2514.50    100.00%    6      || 100.00% 6   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
64    not_boulash1    4869.14    2919.29    85.71%     7      || 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
65    youngKingz      4761.40    3262.50    75.00%     8      || 66.67%  6   | 100.00% 2   | 0.00%   0   | 0.00%   0   | 0.00%   0  
66    Iro_last        4604.32    3083.67    83.33%     6      || 80.00%  5   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
67    SonOfGod_v2     4598.70    2757.14    85.71%     7      || 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
68    RRenfe67        4555.57    2731.29    85.71%     7      || 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
69    Ulaanbaatar7    4459.79    2673.86    85.71%     7      || 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
70    BadBunny        4428.57    2655.14    85.71%     7      || 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
71    ZUGARRAMURDI    4307.88    2951.75    75.00%     8      || 66.67%  6   | 100.00% 2   | 0.00%   0   | 0.00%   0   | 0.00%   0  
72    Nqrta           4221.27    2530.86    85.71%     7      || 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
73    Oliup_a         4211.51    2525.00    85.71%     7      || 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
74    SansoPanza53    4188.92    3021.67    100.00%    3      || 100.00% 3   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
75    SatoruGojo2     4181.32    3806.00    100.00%    2      || 100.00% 2   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
76    Dune            4181.01    2506.71    85.71%     7      || 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
77    Attending_v2    4173.38    2502.14    85.71%     7      || 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
78    capellBalla2    4165.22    2854.00    75.00%     8      || 66.67%  6   | 100.00% 2   | 0.00%   0   | 0.00%   0   | 0.00%   0  
