Resultats entre rondes  1  i  6 

Score = Mitja Pts * log(Rondes + 1) * %Victoria
És la millor manera que he trobat de comparar:
punts, nº de rondes i WinRate%


Pos   Nick del codi   Score      Mitja Pts  %Victoria  Games  || %T1     T1  | %T2     T2  | %T3     T3  | %T4     T4  | %T5     T5 
175   SansoPanza51    2165.73    2957.00    66.67%     3      || 50.00%  2   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
176   AlexGJ          2164.74    2224.92    50.00%     12     || 33.33%  6   | 50.00%  4   | 100.00% 2   | 0.00%   0   | 0.00%   0  
177   Planesll1       2127.54    2004.45    54.55%     11     || 33.33%  6   | 75.00%  4   | 100.00% 1   | 0.00%   0   | 0.00%   0  
178   Marlon4         2122.37    1817.80    60.00%     10     || 50.00%  6   | 66.67%  3   | 100.00% 1   | 0.00%   0   | 0.00%   0  
179   Sonzai          2121.75    1999.00    54.55%     11     || 50.00%  6   | 33.33%  3   | 100.00% 2   | 0.00%   0   | 0.00%   0  
180   SalomonV3       2111.91    1989.73    54.55%     11     || 16.67%  6   | 100.00% 5   | 0.00%   0   | 0.00%   0   | 0.00%   0  
181   Strategic_v2    2087.90    2324.77    46.15%     13     || 33.33%  6   | 25.00%  4   | 100.00% 3   | 0.00%   0   | 0.00%   0  
182   Kinki           2083.14    2319.46    46.15%     13     || 33.33%  6   | 50.00%  4   | 50.00%  2   | 100.00% 1   | 0.00%   0  
183   MosClos         2075.31    2133.00    50.00%     12     || 16.67%  6   | 80.00%  5   | 100.00% 1   | 0.00%   0   | 0.00%   0  
184   V2_9            2070.43    2305.31    46.15%     13     || 33.33%  6   | 50.00%  4   | 50.00%  2   | 100.00% 1   | 0.00%   0  
185   PerroSanxe      2069.39    2126.92    50.00%     12     || 50.00%  6   | 33.33%  3   | 50.00%  2   | 100.00% 1   | 0.00%   0  
186   Manu            2045.56    2102.42    50.00%     12     || 33.33%  6   | 50.00%  4   | 100.00% 2   | 0.00%   0   | 0.00%   0  
187   Smile2          2035.50    2092.08    50.00%     12     || 16.67%  6   | 80.00%  5   | 100.00% 1   | 0.00%   0   | 0.00%   0  
188   Ciscu           2030.08    1912.64    54.55%     11     || 50.00%  6   | 33.33%  3   | 100.00% 2   | 0.00%   0   | 0.00%   0  
189   Chiara          2018.60    1901.82    54.55%     11     || 33.33%  6   | 75.00%  4   | 100.00% 1   | 0.00%   0   | 0.00%   0  
190   Delegado1       2014.10    2070.08    50.00%     12     || 50.00%  6   | 33.33%  3   | 50.00%  2   | 100.00% 1   | 0.00%   0  
191   Ryuki           1996.89    1881.36    54.55%     11     || 50.00%  6   | 33.33%  3   | 100.00% 2   | 0.00%   0   | 0.00%   0  
192   RDC             1980.18    2374.43    42.86%     14     || 0.00%   6   | 66.67%  6   | 100.00% 2   | 0.00%   0   | 0.00%   0  
193   Perry           1978.59    2033.58    50.00%     12     || 16.67%  6   | 80.00%  5   | 100.00% 1   | 0.00%   0   | 0.00%   0  
194   TopBot_VI       1974.64    2367.79    42.86%     14     || 16.67%  6   | 60.00%  5   | 50.00%  2   | 100.00% 1   | 0.00%   0  
195   Janac           1944.50    2331.64    42.86%     14     || 33.33%  6   | 25.00%  4   | 66.67%  3   | 100.00% 1   | 0.00%   0  
196   Bilard02        1930.25    2149.23    46.15%     13     || 33.33%  6   | 25.00%  4   | 100.00% 3   | 0.00%   0   | 0.00%   0  
197   AIQuim          1915.26    1968.50    50.00%     12     || 16.67%  6   | 80.00%  5   | 100.00% 1   | 0.00%   0   | 0.00%   0  
198   Paco_v2         1911.86    2292.50    42.86%     14     || 0.00%   6   | 66.67%  6   | 100.00% 2   | 0.00%   0   | 0.00%   0  
199   Malta           1910.48    1963.58    50.00%     12     || 33.33%  6   | 75.00%  4   | 0.00%   1   | 100.00% 1   | 0.00%   0  
200   Roses           1908.69    1961.75    50.00%     12     || 50.00%  6   | 33.33%  3   | 50.00%  2   | 100.00% 1   | 0.00%   0  
201   SkrieRoig       1904.84    1794.64    54.55%     11     || 33.33%  6   | 75.00%  4   | 100.00% 1   | 0.00%   0   | 0.00%   0  
202   Fastalfred      1895.06    2734.00    100.00%    1      || 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
203   LauraCopy2      1892.67    2107.38    46.15%     13     || 50.00%  6   | 33.33%  3   | 0.00%   2   | 100.00% 2   | 0.00%   0  
204   Joel_1          1890.27    1780.91    54.55%     11     || 66.67%  6   | 0.00%   2   | 50.00%  2   | 100.00% 1   | 0.00%   0  
205   samu            1887.85    1778.64    54.55%     11     || 33.33%  6   | 75.00%  4   | 100.00% 1   | 0.00%   0   | 0.00%   0  
206   Yeat            1874.72    1926.83    50.00%     12     || 50.00%  6   | 33.33%  3   | 50.00%  2   | 100.00% 1   | 0.00%   0  
207   Carquinyoli     1866.00    2077.69    46.15%     13     || 33.33%  6   | 50.00%  4   | 50.00%  2   | 100.00% 1   | 0.00%   0  
208   Galvez3         1854.08    2223.21    42.86%     14     || 16.67%  6   | 60.00%  5   | 50.00%  2   | 100.00% 1   | 0.00%   0  
209   Maat            1845.32    2212.71    42.86%     14     || 0.00%   6   | 66.67%  6   | 100.00% 2   | 0.00%   0   | 0.00%   0  
210   ErnEst3         1827.21    2191.00    42.86%     14     || 0.00%   6   | 66.67%  6   | 100.00% 2   | 0.00%   0   | 0.00%   0  
211   SaturSaur       1809.70    1860.00    50.00%     12     || 33.33%  6   | 50.00%  4   | 100.00% 2   | 0.00%   0   | 0.00%   0  
212   Jan_Parce       1798.37    2002.38    46.15%     13     || 0.00%   6   | 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0  
213   SolWos          1795.83    1845.75    50.00%     12     || 50.00%  6   | 0.00%   3   | 100.00% 3   | 0.00%   0   | 0.00%   0  
214   Chincho3        1785.70    1835.33    50.00%     12     || 33.33%  6   | 75.00%  4   | 0.00%   1   | 100.00% 1   | 0.00%   0  
215   EVAUnit01       1758.02    1957.46    46.15%     13     || 50.00%  6   | 0.00%   3   | 66.67%  3   | 100.00% 1   | 0.00%   0  
216   Espaguetos      1744.00    1941.85    46.15%     13     || 16.67%  6   | 60.00%  5   | 100.00% 2   | 0.00%   0   | 0.00%   0  
217   carlos          1743.79    1642.91    54.55%     11     || 66.67%  6   | 0.00%   2   | 50.00%  2   | 100.00% 1   | 0.00%   0  
218   dFolch49_v1     1733.29    1929.92    46.15%     13     || 33.33%  6   | 50.00%  4   | 50.00%  2   | 100.00% 1   | 0.00%   0  
219   AlbertCF        1695.62    2033.21    42.86%     14     || 33.33%  6   | 25.00%  4   | 66.67%  3   | 100.00% 1   | 0.00%   0  
220   chiwi1          1688.74    2169.60    40.00%     15     || 16.67%  6   | 40.00%  5   | 66.67%  3   | 100.00% 1   | 0.00%   0  
221   AnsuFenix       1680.07    2014.57    42.86%     14     || 33.33%  6   | 50.00%  4   | 0.00%   2   | 100.00% 2   | 0.00%   0  
222   adri3           1655.00    2259.67    66.67%     3      || 50.00%  2   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
223   Salsa3          1639.09    1965.43    42.86%     14     || 16.67%  6   | 60.00%  5   | 50.00%  2   | 100.00% 1   | 0.00%   0  
224   Ace             1634.56    1680.00    50.00%     12     || 33.33%  6   | 50.00%  4   | 100.00% 2   | 0.00%   0   | 0.00%   0  
225   Wlf             1621.75    2083.53    40.00%     15     || 33.33%  6   | 25.00%  4   | 33.33%  3   | 100.00% 2   | 0.00%   0  
226   Amador2         1615.11    1992.00    41.67%     12     || 50.00%  6   | 66.67%  3   | 0.00%   1   | 0.00%   1   | 0.00%   1  
227   peru            1612.66    1795.62    46.15%     13     || 16.67%  6   | 60.00%  5   | 100.00% 2   | 0.00%   0   | 0.00%   0  
228   Dardo_1         1604.72    1786.77    46.15%     13     || 0.00%   6   | 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0  
229   Especulador     1593.87    1774.69    46.15%     13     || 50.00%  6   | 0.00%   3   | 66.67%  3   | 100.00% 1   | 0.00%   0  
230   BKD             1588.04    1904.21    42.86%     14     || 16.67%  6   | 60.00%  5   | 50.00%  2   | 100.00% 1   | 0.00%   0  
231   MC2             1559.89    2004.07    40.00%     15     || 33.33%  6   | 25.00%  4   | 66.67%  3   | 0.00%   1   | 100.00% 1  
232   Rio21           1555.12    1731.54    46.15%     13     || 16.67%  6   | 60.00%  5   | 100.00% 2   | 0.00%   0   | 0.00%   0  
233   Midas           1544.14    1851.57    42.86%     14     || 33.33%  6   | 50.00%  4   | 50.00%  2   | 0.00%   1   | 100.00% 1  
234   Butan           1528.38    1701.77    46.15%     13     || 33.33%  6   | 50.00%  4   | 50.00%  2   | 100.00% 1   | 0.00%   0  
235   PlayerV1        1521.96    1694.62    46.15%     13     || 50.00%  6   | 33.33%  3   | 0.00%   2   | 100.00% 2   | 0.00%   0  
236   Ganondorf       1512.07    1864.92    41.67%     12     || 66.67%  6   | 0.00%   2   | 50.00%  2   | 0.00%   1   | 0.00%   1  
237   TheShadowZ37    1494.40    1791.93    42.86%     14     || 50.00%  6   | 0.00%   3   | 33.33%  3   | 100.00% 2   | 0.00%   0  
238   Taylor3         1490.81    1991.92    38.46%     13     || 66.67%  6   | 0.00%   2   | 0.00%   2   | 50.00%  2   | 0.00%   1  
239   Sandia          1489.04    1785.50    42.86%     14     || 33.33%  6   | 25.00%  4   | 66.67%  3   | 100.00% 1   | 0.00%   0  
240   JuSB            1488.72    1827.91    45.45%     11     || 20.00%  5   | 50.00%  4   | 100.00% 2   | 0.00%   0   | 0.00%   0  
241   Bandit          1482.78    1905.00    40.00%     15     || 33.33%  6   | 50.00%  4   | 0.00%   2   | 50.00%  2   | 100.00% 1  
242   Santako         1476.66    1897.13    40.00%     15     || 33.33%  6   | 25.00%  4   | 66.67%  3   | 0.00%   1   | 100.00% 1  
243   DaninaD1        1476.56    1897.00    40.00%     15     || 0.00%   6   | 50.00%  6   | 100.00% 3   | 0.00%   0   | 0.00%   0  
244   Boss2           1476.44    2023.31    37.50%     16     || 16.67%  6   | 40.00%  5   | 66.67%  3   | 0.00%   1   | 100.00% 1  
245   Bloc            1458.96    1749.43    42.86%     14     || 16.67%  6   | 40.00%  5   | 100.00% 3   | 0.00%   0   | 0.00%   0  
246   AI_Qinta_v6     1457.07    1946.85    38.46%     13     || 50.00%  6   | 33.33%  3   | 50.00%  2   | 0.00%   1   | 0.00%   1  
247   Tropa           1448.49    1786.50    41.67%     12     || 50.00%  6   | 66.67%  3   | 0.00%   1   | 0.00%   1   | 0.00%   1  
248   Tallahassee2    1439.67    2077.00    100.00%    1      || 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
249   PEGGY           1432.97    1841.00    40.00%     15     || 16.67%  6   | 60.00%  5   | 0.00%   2   | 100.00% 2   | 0.00%   0  
250   MateoGil        1429.98    2082.12    35.29%     17     || 0.00%   6   | 33.33%  6   | 75.00%  4   | 100.00% 1   | 0.00%   0  
251   Lobo            1428.93    1713.43    42.86%     14     || 50.00%  6   | 33.33%  3   | 0.00%   2   | 50.00%  2   | 100.00% 1  
252   zizaoui         1420.30    1946.38    37.50%     16     || 0.00%   6   | 33.33%  6   | 100.00% 4   | 0.00%   0   | 0.00%   0  
253   Niico           1398.18    1916.06    37.50%     16     || 16.67%  6   | 40.00%  5   | 66.67%  3   | 0.00%   1   | 100.00% 1  
254   Koki            1391.40    2025.94    35.29%     17     || 16.67%  6   | 20.00%  5   | 75.00%  4   | 0.00%   1   | 100.00% 1  
255   Jessie          1384.47    1849.85    38.46%     13     || 66.67%  6   | 0.00%   2   | 0.00%   2   | 50.00%  2   | 0.00%   1  
256   Dan             1373.42    1882.12    37.50%     16     || 16.67%  6   | 40.00%  5   | 33.33%  3   | 100.00% 2   | 0.00%   0  
257   Djibril02       1353.94    1855.44    37.50%     16     || 16.67%  6   | 40.00%  5   | 33.33%  3   | 100.00% 2   | 0.00%   0  
258   AnonymousX0     1332.80    1484.00    46.15%     13     || 50.00%  6   | 33.33%  3   | 0.00%   2   | 100.00% 2   | 0.00%   0  
259   David           1303.09    1897.35    35.29%     17     || 16.67%  6   | 40.00%  5   | 33.33%  3   | 50.00%  2   | 100.00% 1  
260   El_Proscrito    1300.63    1782.38    37.50%     16     || 0.00%   6   | 66.67%  6   | 50.00%  2   | 0.00%   1   | 100.00% 1  
261   LIN             1294.40    1884.71    35.29%     17     || 16.67%  6   | 40.00%  5   | 0.00%   3   | 100.00% 3   | 0.00%   0  
262   Raiderx         1285.86    1652.00    40.00%     15     || 16.67%  6   | 60.00%  5   | 0.00%   2   | 100.00% 2   | 0.00%   0  
263   Lia2            1283.34    1611.56    44.44%     9      || 20.00%  5   | 66.67%  3   | 100.00% 1   | 0.00%   0   | 0.00%   0  
264   Alfred          1277.98    2318.08    30.77%     13     || 20.00%  5   | 0.00%   4   | 66.67%  3   | 100.00% 1   | 0.00%   0  
265   Samson          1277.19    1750.25    37.50%     16     || 16.67%  6   | 40.00%  5   | 33.33%  3   | 100.00% 2   | 0.00%   0  
266   chiwi           1261.27    1836.47    35.29%     17     || 33.33%  6   | 25.00%  4   | 0.00%   3   | 66.67%  3   | 100.00% 1  
267   Fresgo          1258.77    1832.82    35.29%     17     || 16.67%  6   | 0.00%   5   | 80.00%  5   | 100.00% 1   | 0.00%   0  
268   Marvpyasv3      1254.36    1826.41    35.29%     17     || 16.67%  6   | 20.00%  5   | 75.00%  4   | 0.00%   1   | 100.00% 1  
269   Blunder         1252.43    1823.59    35.29%     17     || 16.67%  6   | 40.00%  5   | 33.33%  3   | 50.00%  2   | 100.00% 1  
270   Malmo           1251.54    1822.29    35.29%     17     || 33.33%  6   | 0.00%   4   | 50.00%  4   | 50.00%  2   | 100.00% 1  
271   Scofield        1234.62    1649.62    38.46%     13     || 33.33%  6   | 75.00%  4   | 0.00%   1   | 0.00%   1   | 0.00%   1  
272   Montse          1202.20    1729.86    35.71%     14     || 16.67%  6   | 80.00%  5   | 0.00%   1   | 0.00%   1   | 0.00%   1  
273   Seul            1187.38    1423.79    42.86%     14     || 16.67%  6   | 40.00%  5   | 100.00% 3   | 0.00%   0   | 0.00%   0  
274   Tallahassee     1172.97    1963.93    33.33%     15     || 40.00%  5   | 0.00%   3   | 33.33%  3   | 0.00%   2   | 100.00% 2  
275   Shimo           1172.69    1908.37    31.58%     19     || 16.67%  6   | 20.00%  5   | 25.00%  4   | 66.67%  3   | 100.00% 1  
276   Catriel         1140.88    1993.41    29.41%     17     || 33.33%  6   | 0.00%   4   | 50.00%  4   | 50.00%  2   | 0.00%   1  
277   Sisyphus        1126.50    1543.75    37.50%     16     || 0.00%   6   | 66.67%  6   | 50.00%  2   | 0.00%   1   | 100.00% 1  
278   prueba3         1115.74    1529.00    37.50%     16     || 16.67%  6   | 40.00%  5   | 33.33%  3   | 100.00% 2   | 0.00%   0  
279   wiwiwi          1115.31    1719.47    33.33%     15     || 16.67%  6   | 60.00%  5   | 50.00%  2   | 0.00%   1   | 0.00%   1  
280   Venusaur        1113.46    1907.35    30.00%     20     || 0.00%   6   | 16.67%  6   | 40.00%  5   | 100.00% 3   | 0.00%   0  
281   Avellana        1096.84    1691.00    33.33%     18     || 16.67%  6   | 40.00%  5   | 0.00%   3   | 66.67%  3   | 100.00% 1  
282   neto3           1086.85    1899.00    29.41%     17     || 16.67%  6   | 20.00%  5   | 75.00%  4   | 0.00%   1   | 0.00%   1  
283   Traspie         1086.23    2009.56    27.78%     18     || 0.00%   6   | 33.33%  6   | 75.00%  4   | 0.00%   1   | 0.00%   1  
284   JohnCena2       1046.09    1791.95    30.00%     20     || 16.67%  6   | 0.00%   5   | 20.00%  5   | 100.00% 4   | 0.00%   0  
285   chiwilson       1044.75    1507.25    50.00%     4      || 33.33%  3   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
286   Raurichhhhhh    1025.79    1669.32    31.58%     19     || 33.33%  6   | 0.00%   4   | 25.00%  4   | 33.33%  3   | 100.00% 2  
287   Jiiil2          977.65     1842.18    27.27%     22     || 0.00%   6   | 16.67%  6   | 40.00%  5   | 33.33%  3   | 100.00% 2  
288   Weezer          970.40     1496.06    33.33%     18     || 33.33%  6   | 25.00%  4   | 0.00%   3   | 33.33%  3   | 100.00% 2  
289   Freezer         952.96     1665.06    29.41%     17     || 33.33%  6   | 0.00%   4   | 50.00%  4   | 50.00%  2   | 0.00%   1  
290   Mite            888.63     1598.33    28.57%     21     || 0.00%   6   | 16.67%  6   | 40.00%  5   | 66.67%  3   | 100.00% 1  
291   DamianV1        884.43     1636.22    27.78%     18     || 16.67%  6   | 40.00%  5   | 0.00%   3   | 66.67%  3   | 0.00%   1  
292   Macetas         875.96     1710.58    26.32%     19     || 0.00%   6   | 50.00%  6   | 33.33%  3   | 0.00%   2   | 50.00%  2  
293   Gupo_ver0       867.17     1871.67    23.81%     21     || 0.00%   6   | 16.67%  6   | 40.00%  5   | 66.67%  3   | 0.00%   1  
294   Lima            862.05     1550.52    28.57%     21     || 0.00%   6   | 33.33%  6   | 25.00%  4   | 33.33%  3   | 100.00% 2  
295   K_26            851.52     1487.82    29.41%     17     || 33.33%  6   | 0.00%   4   | 50.00%  4   | 50.00%  2   | 0.00%   1  
296   Sholmes         844.19     1388.25    31.25%     16     || 33.33%  6   | 50.00%  4   | 0.00%   2   | 0.00%   2   | 50.00%  2  
297   adri2           834.46     1901.09    27.27%     11     || 0.00%   4   | 33.33%  3   | 50.00%  2   | 0.00%   1   | 100.00% 1  
298   AI7             833.05     1369.94    31.25%     16     || 0.00%   6   | 60.00%  5   | 0.00%   2   | 50.00%  2   | 100.00% 1  
299   cr1s_01         798.86     1710.56    24.00%     25     || 0.00%   6   | 0.00%   6   | 33.33%  6   | 25.00%  4   | 100.00% 3  
300   monstre         796.48     1555.37    26.32%     19     || 16.67%  6   | 20.00%  5   | 25.00%  4   | 66.67%  3   | 0.00%   1  
301   Dexter          773.07     1456.68    27.27%     22     || 0.00%   6   | 33.33%  6   | 0.00%   4   | 50.00%  4   | 100.00% 2  
302   Sanpi2          749.80     1695.41    22.73%     22     || 0.00%   6   | 16.67%  6   | 40.00%  5   | 33.33%  3   | 50.00%  2  
303   Goku            730.82     1727.61    21.74%     23     || 16.67%  6   | 0.00%   5   | 20.00%  5   | 25.00%  4   | 66.67%  3  
304   Nith5           721.11     1630.55    22.73%     22     || 0.00%   6   | 33.33%  6   | 25.00%  4   | 0.00%   3   | 66.67%  3  
305   Laura2          708.62     1907.92    23.08%     13     || 0.00%   4   | 25.00%  4   | 66.67%  3   | 0.00%   1   | 0.00%   1  
306   r10             702.72     1661.17    21.74%     23     || 16.67%  6   | 0.00%   5   | 20.00%  5   | 25.00%  4   | 66.67%  3  
307   Caco            698.16     1614.52    22.22%     27     || 0.00%   6   | 0.00%   6   | 16.67%  6   | 20.00%  5   | 100.00% 4  
308   EQMKII          664.21     1916.50    25.00%     8      || 0.00%   3   | 33.33%  3   | 50.00%  2   | 0.00%   0   | 0.00%   0  
309   Adria2          617.09     1585.60    20.00%     20     || 33.33%  6   | 0.00%   4   | 0.00%   4   | 50.00%  4   | 0.00%   2  
310   MaxVR1          568.71     1461.30    20.00%     20     || 33.33%  6   | 0.00%   4   | 0.00%   4   | 50.00%  4   | 0.00%   2  
311   Ghost_1         566.77     1747.58    16.67%     24     || 0.00%   6   | 0.00%   6   | 33.33%  6   | 50.00%  4   | 0.00%   2  
312   Iro_basic       507.08     2194.67    33.33%     3      || 0.00%   1   | 0.00%   1   | 100.00% 1   | 0.00%   0   | 0.00%   0  
313   Kill            503.88     1424.18    18.18%     22     || 0.00%   6   | 16.67%  6   | 40.00%  5   | 33.33%  3   | 0.00%   2  
314   LaClave         493.88     1586.28    16.00%     25     || 0.00%   6   | 16.67%  6   | 20.00%  5   | 0.00%   4   | 50.00%  4  
315   AISilverhand    490.81     1450.30    17.39%     23     || 16.67%  6   | 20.00%  5   | 0.00%   4   | 0.00%   4   | 50.00%  4  
316   v3bTestABS      479.64     1355.68    18.18%     22     || 0.00%   6   | 33.33%  6   | 0.00%   4   | 50.00%  4   | 0.00%   2  
317   Dummy           474.24     1441.71    14.29%     35     || 0.00%   9   | 14.29%  7   | 16.67%  6   | 14.29%  7   | 33.33%  6  
318   Adri            463.32     1547.65    15.38%     26     || 0.00%   6   | 0.00%   6   | 33.33%  6   | 0.00%   4   | 50.00%  4  
319   Ouagadougou     417.93     1399.50    16.67%     18     || 0.00%   5   | 20.00%  5   | 50.00%  4   | 0.00%   2   | 0.00%   2  
320   Jay7            385.60     1651.32    12.00%     25     || 0.00%   6   | 0.00%   6   | 33.33%  6   | 25.00%  4   | 0.00%   3  
321   Shimbaeh        354.53     1579.00    11.54%     26     || 0.00%   6   | 16.67%  6   | 0.00%   5   | 20.00%  5   | 25.00%  4  
322   Dana3           292.51     1688.00    25.00%     4      || 0.00%   1   | 0.00%   1   | 0.00%   1   | 100.00% 1   | 0.00%   0  
323   ByChini1        214.78     1173.00    16.67%     6      || 50.00%  2   | 0.00%   1   | 0.00%   1   | 0.00%   1   | 0.00%   1  
324   lovezni         135.24     1170.67    8.33%      12     || 0.00%   3   | 33.33%  3   | 0.00%   2   | 0.00%   2   | 0.00%   2  
325   MyPlayer1       0.00       1488.20    0.00%      5      || 0.00%   1   | 0.00%   1   | 0.00%   1   | 0.00%   1   | 0.00%   1  
326   Mauricio27_0    0.00       1815.00    0.00%      1      || 0.00%   1   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
327   JudithSa        0.00       801.00     0.00%      1      || 0.00%   1   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
328   SansoPanza52    0.00       2105.00    0.00%      1      || 0.00%   1   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
